player,position,age,squad,minutes,starts,goals,assists,xg,xa,xgi_per90,value_m,total_points
Josh Brownhill,MID,29,6,2248,23,4,2,1.81,2.04,0.15,4.7,78
Josh Cullen,MID,28,6,2055,23,2,4,0.59,2.29,0.13,5.0,65
Jóhann Berg Gudmundsson,MID,33,6,1185,12,1,3,1.8,2.53,0.33,4.8,48
Arijanet Muric,GK,25,6,900,10,0,0,0.0,0.05,0.0,4.3,47
Connor Roberts,DEF,28,6,817,8,0,1,0.0,0.35,0.04,4.3,12
Jay Rodriguez,FWD,34,6,811,7,2,1,3.82,0.08,0.43,5.3,41
Charlie Taylor,DEF,30,6,2329,25,1,1,0.25,1.66,0.07,3.9,47
David Datro Fofana,FWD,22,6,876,10,4,1,4.58,0.3,0.5,5.0,50
Sander Berge,MID,26,6,3002,34,1,2,2.04,1.66,0.11,4.6,74
Aaron Ramsey,MID,33,6,522,5,0,0,0.35,0.48,0.14,5.0,18
Robert Sánchez,GK,26,7,1433,16,0,0,0.0,0.0,0.0,4.5,59
Benoît Badiashile,DEF,23,7,1337,15,0,1,0.27,0.92,0.08,4.4,35
Trevoh Chalobah,DEF,24,7,949,10,1,0,0.2,0.16,0.04,4.3,39
Ben Chilwell,DEF,27,7,752,9,0,2,1.11,1.62,0.32,5.4,24
Levi Colwill,DEF,22,7,1794,20,1,1,1.29,0.53,0.09,4.6,65
Enzo Fernández,MID,24,7,2208,26,3,3,5.72,3.78,0.38,4.8,77
Conor Gallagher,MID,24,7,3129,37,5,8,4.01,3.53,0.22,5.4,129
Malo Gusto,DEF,21,7,1746,19,0,6,1.01,3.39,0.22,4.3,74
Noni Madueke,MID,22,7,1044,13,5,3,2.51,2.13,0.4,5.3,76
Mykhailo Mudryk,MID,24,7,1564,18,5,5,4.77,3.15,0.45,6.3,94
Raheem Sterling,MID,29,7,1972,22,8,8,6.39,4.33,0.49,6.8,123
Cole Palmer,MID,22,7,2617,29,22,13,17.35,8.17,0.88,6.3,244
Joachim Andersen,DEF,28,8,3416,38,2,3,1.75,2.08,0.1,4.7,121
Jordan Ayew,MID,32,8,2540,30,4,7,3.97,2.55,0.23,5.3,109
Nathaniel Clyne,DEF,33,8,1335,14,0,1,0.21,0.21,0.02,4.3,52
Cheick Doucouré,MID,24,8,920,11,0,0,0.28,0.76,0.1,4.8,21
